# File Name: /shared/data/ui/current_run/DSF Protocol 25-95C X1M3 0-5 K increments_20250110_145235.eds,file_name,,,,,
# Comment: ,,,,,,
# Operator:,,,,,,
# Barcode: ,,,,,,
# Instrument Type:,,,,,,
# Block Type: 384-Well Block,,,,,,
# Instrument Name: ,,,,,,
# Instrument Serial Number: ,,,,,,
# Heated Cover Serial Number: ,,,,,,
# Block Serial Number: ,,,,,,
# Run Start Date/Time: ,,,,,,
# Run End Date/Time: ,,,,,,
# Run Duration: ,,,,,,
# Sample Volume: 20.0,,,,,,
# Cover Temperature: 105.0,,,,,,
# Passive Reference: ,,,,,,
# Melt Stage Number: 2,,,,,,
# Quantification Cycle Method: CT,,,,,,
# Post-read Stage/Step: ,,,,,,
# Analysis Date/Time: ,,,,,,
# Exported On: ,,,,,,
Well,Well Position,Reading Number,Target,Temperature,Fluorescence,Derivative
3,A3,36,DSF,42.432647705078125,45966.58594,-3783.643066
3,A3,37,DSF,42.93065643310547,46857.53125,-4204.580078
3,A3,38,DSF,43.42866516113281,48548.65234,-4691.111328
3,A3,39,DSF,43.92667007446289,49852.67578,-5280.40332
3,A3,40,DSF,44.42467498779297,52674.65234,-6016.539063
3,A3,41,DSF,44.92268371582031,55201.35156,-6948.334961
3,A3,42,DSF,45.420692443847656,56770.42188,-8126.092773
3,A3,43,DSF,45.91870117,60585.04688,-9595.845703
3,A3,44,DSF,46.41670608520508,63556.29297,-11392.68555
3,A3,45,DSF,46.914710998535156,68833.85156,-13536.2959
3,A3,46,DSF,47.41271973,73935.1875,-16030.57715
3,A3,47,DSF,47.910728454589844,81336.875,-18866.14453
3,A3,48,DSF,48.40873718261719,89537.89844,-22022.10156
3,A3,49,DSF,48.906742095947266,99299.55469,-25463.54688
3,A3,50,DSF,49.404747009277344,111009.6484,-29133.05078
3,A3,51,DSF,49.90275573730469,124274.4375,-32938.46484
3,A3,52,DSF,50.40076446533203,138916.8438,-36741.875
3,A3,53,DSF,50.898773193359375,156497.6719,-40355.78906
3,A3,54,DSF,51.39677429199219,176810.6406,-43549.80078
3,A3,55,DSF,51.89478302001953,198266.6563,-46067.62891
3,A3,56,DSF,52.392791748046875,220645.9219,-47651.87109
3,A3,57,DSF,52.89080047607422,245040.0781,-48073.92969
3,A3,58,DSF,53.38880920410156,269229.4375,-47167.05859
3,A3,59,DSF,53.886810302734375,293273.1875,-44859.08203
3,A3,60,DSF,54.38481903076172,314621.25,-41197.88672
3,A3,61,DSF,54.88282775878906,334690,-36361.61328
3,A3,62,DSF,55.380836486816406,350181.0625,-30646.88672
3,A3,63,DSF,55.87884521484375,361908.2813,-24434.27344
3,A3,64,DSF,56.37684631347656,369923.0625,-18136.94922
3,A3,65,DSF,56.874855041503906,373523.5,-12143.83887
3,A3,66,DSF,57.37286376953125,375294.25,-6769.154297
3,A3,67,DSF,57.870872497558594,373694.2813,-2218.981445
3,A3,68,DSF,58.368873596191406,370422.4375,1420.906738
3,A3,69,DSF,58.86688232421875,367642.3125,4175.239746
3,A3,70,DSF,59.364891052246094,362951.6875,5925.09082
3,A3,71,DSF,59.86289978027344,359071.5,7121.55127
3,A3,72,DSF,60.36090850830078,354419.0625,7922.023926
3,A3,73,DSF,60.858909606933594,350923.3125,8460.388672
3,A3,74,DSF,61.35691833496094,346192.6563,8839.148438
3,A3,75,DSF,61.85492706298828,342237.75,9125.883789
